2018-08-16 12:49:57,tvw825385571,漳州,4,挺好看的😊哈哈
2018-08-16 12:49:53,橙子哇科科,锦州,5,黄渤这个电影想表达的东西太多了 但是真的很精彩
2018-08-16 12:49:32,j1219028717,乐平,5,还挺好看的，不过没想象中那么搞笑
2018-08-16 12:49:21,小松,北京,1,对付看了一小时
2018-08-16 12:49:18,啦啦就是拉拉,广州,4,一般般吧  没什么出彩的地方
2018-08-16 12:49:14,唐鑫,乌鲁木齐,4,果然黄渤还是有实力
2018-08-16 12:49:10,PDi919128967,青岛,4.5,不错，细思极恐！
2018-08-16 12:49:02,Ttg2242203791,襄阳,3.5,新导演的诚意我看到了，想说的太多，表达手法欠缺深意，进步空间很大。
2018-08-16 12:48:26,Vzs938648392,黄山,2,中间尿点十足，想表达的东西太生硬，如果不是这个演员，电影就费了！！
2018-08-16 12:47:17,TwT777,北京,3,可能是期待太高了，感觉很一般
2018-08-16 12:47:06,砼雨巷,景德镇,4,一般吧，看的想睡觉
2018-08-16 12:47:01,吃喝玩乐嗨起来哼,沈阳,5,渤哥的电影，必须赞
2018-08-16 12:47:00,rebeccasisi,武汉,4.5,很有深度的一部好片，节奏感掌握的很好，全程无尿点！结局也是美好的
2018-08-16 12:46:30,CC施施,珠海,3,一般吧！太无聊了！
2018-08-16 12:46:14,翘哥,南昌,4,好看的一出戏
2018-08-16 12:49:53,橙子哇科科,锦州,5,黄渤这个电影想表达的东西太多了 但是真的很精彩
2018-08-16 12:49:32,j1219028717,乐平,5,还挺好看的，不过没想象中那么搞笑
2018-08-16 12:49:21,小松,北京,1,对付看了一小时
2018-08-16 12:49:18,啦啦就是拉拉,广州,4,一般般吧  没什么出彩的地方
2018-08-16 12:49:14,唐鑫,乌鲁木齐,4,果然黄渤还是有实力
2018-08-16 12:49:10,PDi919128967,青岛,4.5,不错，细思极恐！
2018-08-16 12:49:02,Ttg2242203791,襄阳,3.5,新导演的诚意我看到了，想说的太多，表达手法欠缺深意，进步空间很大。
2018-08-16 12:48:26,Vzs938648392,黄山,2,中间尿点十足，想表达的东西太生硬，如果不是这个演员，电影就费了！！
2018-08-16 12:47:17,TwT777,北京,3,可能是期待太高了，感觉很一般
